tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
HFC-13	HFC-13		This study	LP-NOMAG		
HFC-14	HFC-14		This study	LP-NOMAG		
HFC-15	HFC-15		This study	LP-NOMAG		
HFC-16	HFC-16		This study	LP-NOMAG		
HFC-17	HFC-17		This study	LP-NOMAG		
HFC-18	HFC-18		This study	LP-NOMAG		
HFC-19	HFC-19		This study	LP-NOMAG		
HFC-20	HFC-20		This study	LP-NOMAG		
HFC-21	HFC-21		This study	LP-NOMAG		
HFC-22	HFC-22		This study	LP-NOMAG		
HFC-23	HFC-23		This study	LP-NOMAG		
HFC-24	HFC-24		This study	LP-NOMAG		
SC1-1a	SC1-1a		This study	LP-NOMAG		
SC1-2a	SC1-2a		This study	LP-NOMAG		
SC1-3a	SC1-3a		This study	LP-NOMAG		
SC1-4a	SC1-4a		This study	LP-NOMAG		
SC1-5a	SC1-5a		This study	LP-NOMAG		
SC1-6a	SC1-6a		This study	LP-NOMAG		
SC1-7a	SC1-7a		This study	LP-NOMAG		
SC1-8a	SC1-8a		This study	LP-NOMAG		
SC1-9a	SC1-9a		This study	LP-NOMAG		
SC1-10a	SC1-10a		This study	LP-NOMAG		
SC1-11a	SC1-11a		This study	LP-NOMAG		
SC1-12a	SC1-12a		This study	LP-NOMAG		
SC1-13a	SC1-13a		This study	LP-NOMAG		
SC1-14a	SC1-14a		This study	LP-NOMAG		
SC1-15a	SC1-15a		This study	LP-NOMAG		
SC1-16a	SC1-16a		This study	LP-NOMAG		
SC1-17a	SC1-17a		This study	LP-NOMAG		
SC1-18a	SC1-18a		This study	LP-NOMAG		
SC1-19a	SC1-19a		This study	LP-NOMAG		
SC1-20a	SC1-20a		This study	LP-NOMAG		
SC1-21a	SC1-21a		This study	LP-NOMAG		
SC1-22a	SC1-22a		This study	LP-NOMAG		
SC1-23a	SC1-23a		This study	LP-NOMAG		
SC1-24a	SC1-24a		This study	LP-NOMAG		
SC1-25a	SC1-25a		This study	LP-NOMAG		
SC1-26a	SC1-26a		This study	LP-NOMAG		
SC1-27a	SC1-27a		This study	LP-NOMAG		
SC1-28a	SC1-28a		This study	LP-NOMAG		
SC1-29a	SC1-29a		This study	LP-NOMAG		
SC1-30a	SC1-30a		This study	LP-NOMAG		
SC1-31a	SC1-31a		This study	LP-NOMAG		
SC1-32a	SC1-32a		This study	LP-NOMAG		
SC1-33a	SC1-33a		This study	LP-NOMAG		
SC1-34a	SC1-34a		This study	LP-NOMAG		
SC1-35a	SC1-35a		This study	LP-NOMAG		
SC1-36a	SC1-36a		This study	LP-NOMAG		
SC1-37a	SC1-37a		This study	LP-NOMAG		
SC1-38a	SC1-38a		This study	LP-NOMAG		
SC1-39a	SC1-39a		This study	LP-NOMAG		
SC1-40a	SC1-40a		This study	LP-NOMAG		
SC1-41a	SC1-41a		This study	LP-NOMAG		
SC1-42a	SC1-42a		This study	LP-NOMAG		
SC1-43a	SC1-43a		This study	LP-NOMAG		
SC1-44a	SC1-44a		This study	LP-NOMAG		
SC1-45a	SC1-45a		This study	LP-NOMAG		
SC1-46a	SC1-46a		This study	LP-NOMAG		
SC1-47a	SC1-47a		This study	LP-NOMAG		
SC1-48a	SC1-48a		This study	LP-NOMAG		
SC1-49a	SC1-49a		This study	LP-NOMAG		
SC1-50a	SC1-50a		This study	LP-NOMAG		
SC1-51a	SC1-51a		This study	LP-NOMAG		
SC1-52a	SC1-52a		This study	LP-NOMAG		
SC1-53a	SC1-53a		This study	LP-NOMAG		
SC1-54a	SC1-54a		This study	LP-NOMAG		
SC1-55a	SC1-55a		This study	LP-NOMAG		
SC1-56a	SC1-56a		This study	LP-NOMAG		
SC1-57a	SC1-57a		This study	LP-NOMAG		
SC1-58a	SC1-58a		This study	LP-NOMAG		
SC1-59a	SC1-59a		This study	LP-NOMAG		
SC1-60a	SC1-60a		This study	LP-NOMAG		
SC1-61a	SC1-61a		This study	LP-NOMAG		
SC1-62a	SC1-62a		This study	LP-NOMAG		
SC1-63a	SC1-63a		This study	LP-NOMAG		
SC1-64a	SC1-64a		This study	LP-NOMAG		
SC1-65a	SC1-65a		This study	LP-NOMAG		
SC1-66a	SC1-66a		This study	LP-NOMAG		
SC1-67a	SC1-67a		This study	LP-NOMAG		
SC1-68a	SC1-68a		This study	LP-NOMAG		
SC1-69a	SC1-69a		This study	LP-NOMAG		
SC1-70a	SC1-70a		This study	LP-NOMAG		
SC1-71a	SC1-71a		This study	LP-NOMAG		
SC1-72a	SC1-72a		This study	LP-NOMAG		
SC1-73a	SC1-73a		This study	LP-NOMAG		
SC1-74a	SC1-74a		This study	LP-NOMAG		
SC1-75a	SC1-75a		This study	LP-NOMAG		
JK2-2a	JK2-2a		This study	LP-NOMAG		
JK2-3a	JK2-3a		This study	LP-NOMAG		
JK2-4a	JK2-4a		This study	LP-NOMAG		
JK2-6a	JK2-6a		This study	LP-NOMAG		
JK2-7a	JK2-7a		This study	LP-NOMAG		
JK2-8a	JK2-8a		This study	LP-NOMAG		
JK2-9a	JK2-9a		This study	LP-NOMAG		
JK2-10a	JK2-10a		This study	LP-NOMAG		
JK3-1a	JK3-1a		This study	LP-NOMAG		
JK3-2a	JK3-2a		This study	LP-NOMAG		
JK3-3a	JK3-3a		This study	LP-NOMAG		
JK3-4a	JK3-4a		This study	LP-NOMAG		
JK3-5a	JK3-5a		This study	LP-NOMAG		
JK3-6a	JK3-6a		This study	LP-NOMAG		
JK3-7a	JK3-7a		This study	LP-NOMAG		
JK3-8a	JK3-8a		This study	LP-NOMAG		
NW1-1a	NW1-1a		This study	LP-NOMAG		
NW1-2a	NW1-2a		This study	LP-NOMAG		
NW1-3a	NW1-3a		This study	LP-NOMAG		
NW1-4a	NW1-4a		This study	LP-NOMAG		
NW1-5a	NW1-5a		This study	LP-NOMAG		
NW1-6a	NW1-6a		This study	LP-NOMAG		
NW1-7a	NW1-7a		This study	LP-NOMAG		
NW1-8a	NW1-8a		This study	LP-NOMAG		
NW1-9a	NW1-9a		This study	LP-NOMAG		
NW1-10a	NW1-10a		This study	LP-NOMAG		
NW1-11a	NW1-11a		This study	LP-NOMAG		
NW1-12a	NW1-12a		This study	LP-NOMAG		
NW1-13a	NW1-13a		This study	LP-NOMAG		
NW1-14a	NW1-14a		This study	LP-NOMAG		
NW2-1a	NW2-1a		This study	LP-NOMAG		
NW2-2a	NW2-2a		This study	LP-NOMAG		
NW2-3a	NW2-3a		This study	LP-NOMAG		
NW2-4a	NW2-4a		This study	LP-NOMAG		
NW2-5a	NW2-5a		This study	LP-NOMAG		
NW2-6a	NW2-6a		This study	LP-NOMAG		
NW2-7a	NW2-7a		This study	LP-NOMAG		
NW2-8a	NW2-8a		This study	LP-NOMAG		
NW2-9a	NW2-9a		This study	LP-NOMAG		
NW2-10a	NW2-10a		This study	LP-NOMAG		
NW2-11a	NW2-11a		This study	LP-NOMAG		
NW2-12a	NW2-12a		This study	LP-NOMAG		
NW2-13a	NW2-13a		This study	LP-NOMAG		
NW2-14a	NW2-14a		This study	LP-NOMAG		
NW2-15a	NW2-15a		This study	LP-NOMAG		
NW2-16a	NW2-16a		This study	LP-NOMAG		
NW2-17a	NW2-17a		This study	LP-NOMAG		
NW2-18a	NW2-18a		This study	LP-NOMAG		
